"Data collection and security",""
"Does your app collect or share any of the required user data types?","No"
"Is all of the user data collected by your app encrypted in transit?",""
"Do you provide a way for users to request that their data is deleted?",""
"Data types collected",""
"Personal info",""
"Name",""
"Email address",""
"User IDs",""
"Address",""
"Phone number",""
"Political or religious beliefs",""
"Sexual orientation",""
"Other info",""
"Financial info",""
"User payment info",""
"Purchase history",""
"Credit score",""
"Other financial info",""
"Health and fitness",""
"Health info",""
"Fitness info",""
"Messages",""
"Emails",""
"SMS or MMS messages",""
"Other in-app messages",""
"Photos and videos",""
"Photos",""
"Videos",""
"Audio files",""
"Voice or sound recordings",""
"Music files",""
"Other audio files",""
"Files and docs",""
"Files and docs",""
"Calendar",""
"Calendar events",""
"Contacts",""
"Contacts",""
"App activity",""
"Page views and taps in app",""
"In-app search history",""
"Installed apps",""
"Other user-generated content",""
"Other actions",""
"Web browsing",""
"Web browsing history",""
"App info and performance",""
"Crash logs",""
"Diagnostics",""
"Other app performance data",""
"Device or other IDs",""
"Device or other IDs",""
"Data types shared",""
"Personal info",""
"Name",""
"Email address",""
"User IDs",""
"Address",""
"Phone number",""
"Political or religious beliefs",""
"Sexual orientation",""
"Other info",""
"Financial info",""
"User payment info",""
"Purchase history",""
"Credit score",""
"Other financial info",""
"Health and fitness",""
"Health info",""
"Fitness info",""
"Messages",""
"Emails",""
"SMS or MMS messages",""
"Other in-app messages",""
"Photos and videos",""
"Photos",""
"Videos",""
"Audio files",""
"Voice or sound recordings",""
"Music files",""
"Other audio files",""
"Files and docs",""
"Files and docs",""
"Calendar",""
"Calendar events",""
"Contacts",""
"Contacts",""
"App activity",""
"Page views and taps in app",""
"In-app search history",""
"Installed apps",""
"Other user-generated content",""
"Other actions",""
"Web browsing",""
"Web browsing history",""
"App info and performance",""
"Crash logs",""
"Diagnostics",""
"Other app performance data",""
"Device or other IDs",""
"Device or other IDs",""
